instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE00IN01015,2107.0,STOVEKRAFT,STOVE KRAFT LIMITED,532.4,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE239C01020,5186.0,STYLAMIND,STYLAM INDUSTRIES LIMITED,1599.35,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE189B01011,19.0,STYRENIX,STYRENIX PERFORMANCE LTD,2068.05,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE754A01055,967.0,SUBEXLTD,SUBEX LTD,29.71,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE287B01021,3324.0,SUBROS,SUBROS LIMITED,628.85,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE659A01023,3327.0,SUDARSCHEM,SUDARSHAN CHEMICAL INDS L,829.3,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE450E01011,11804.0,SUKHJITS,SUKHJIT STARCH & CHEM LTD,445.75,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE142Q01026,13218.0,SULA,SULA VINEYARDS LIMITED,517.9,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE258G01013,17105.0,SUMICHEM,SUMITOMO CHEM INDIA LTD,488.1,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE748Z01013,11141.0,SUMIT,SUMIT WOODS LIMITED,73.09,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE519C01017,21275.0,SUMMITSEC,SUMMIT SECURITIES LTD,1394.85,,,0.05,1.0,EQUITY,,NSE
